year_month,feature,monthly_event_pred_mean,monthly_direction_acc_mean,days_in_month,monthly_success_rate
2019-03,ema20,-0.01666666666666667,0.475,20,0.007916666666666667
2019-03,ema10,-0.01666666666666667,0.475,20,0.007916666666666667
2019-03,ema5,-0.01666666666666667,0.475,20,0.007916666666666667
2019-03,don55_hi,0.016666666666666666,0.475,20,0.007916666666666666
2019-03,roc20,0.016666666666666666,0.475,20,0.007916666666666666
2019-03,stochk5,-0.016666666666666666,0.425,20,0.007083333333333333
2019-03,dev_sma20,0.012499999999999997,0.525,20,0.006562499999999999
2019-03,rsi5,-0.0125,0.425,20,0.0053125
2019-03,macd,0.008333333333333331,0.575,20,0.004791666666666665
2019-03,cci20,0.008333333333333335,0.525,20,0.004375000000000001
2019-03,ema50,-0.004166666666666668,0.475,20,0.0019791666666666673
2019-03,ma_squeeze_20_50,0.004166666666666666,0.475,20,0.001979166666666666
2019-03,willr14,-0.004166666666666666,0.475,20,0.001979166666666666
2019-03,don55_lo,0.0,0.425,20,0.0
2019-03,corr_obv_vwap20,0.0,0.425,20,0.0
2019-03,dev_ema20,0.0,0.525,20,0.0
2019-04,obv,0.196078431372549,0.5,17,0.0980392156862745
2019-04,vol10,0.196078431372549,0.5,17,0.0980392156862745
2019-04,atr10,0.196078431372549,0.5,17,0.0980392156862745
2019-04,atr14,0.196078431372549,0.5,17,0.0980392156862745
2019-04,atr5,0.196078431372549,0.5,17,0.0980392156862745
2019-04,ema12_26_rel,0.17647058823529413,0.5,17,0.08823529411764706
2019-04,gk20,0.1568627450980392,0.5,17,0.0784313725490196
2019-04,macd_signal,0.1568627450980392,0.5,17,0.0784313725490196
2019-04,vol20,0.1568627450980392,0.5,17,0.0784313725490196
2019-04,macd,0.1568627450980392,0.5,17,0.0784313725490196
2019-04,tr14,0.1568627450980392,0.5,17,0.0784313725490196
2019-04,rel_range,0.14705882352941177,0.5,17,0.07352941176470588
2019-04,parkinson20,0.1372549019607843,0.5,17,0.06862745098039215
2019-04,curv5,0.10392156862745097,0.5,17,0.051960784313725486
2019-04,don55_hi,-0.0980392156862745,0.5,17,0.04901960784313725
2019-04,don55_lo,-0.0980392156862745,0.5,17,0.04901960784313725
2019-04,sma50,-0.0980392156862745,0.5,17,0.04901960784313725
2019-04,roc20,0.0784313725490196,0.5,17,0.0392156862745098
2019-04,dev_ema20,0.0784313725490196,0.5,17,0.0392156862745098
2019-04,dev_sma20,0.058823529411764705,0.5,17,0.029411764705882353
2019-04,ma_squeeze_20_50,0.058823529411764705,0.5,17,0.029411764705882353
2019-04,rsi6,-0.053921568627450976,0.5,17,0.026960784313725488
2019-04,vol_z20,0.04901960784313725,0.5,17,0.024509803921568624
2019-04,corr_obv_vwap20,0.042156862745098035,0.5,17,0.021078431372549018
2019-04,rsi5,-0.034313725490196074,0.5,17,0.017156862745098037
